OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2228,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073307,42.347277,DISTRICT 0,0CD,CD,0.25
2229,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073248,42.347324,DISTRICT 0,0CD,CD,0.25
2230,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073189,42.347372,DISTRICT 0,0CD,CD,0.25
2231,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.07313,42.347419,DISTRICT 0,0CD,CD,0.25
2232,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073071,42.347466,DISTRICT 0,0CD,CD,0.25
2233,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.073012,42.347514,DISTRICT 0,0CD,CD,0.25
2234,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072953,42.347561,DISTRICT 0,0CD,CD,0.25
2235,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072894,42.347608,DISTRICT 0,0CD,CD,0.25
2236,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072835,42.347656,DISTRICT 0,0CD,CD,0.25
2237,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072776,42.347703,DISTRICT 0,0CD,CD,0.25
2238,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072717,42.34775,DISTRICT 0,0CD,CD,0.25
2239,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072658,42.347798,DISTRICT 0,0CD,CD,0.25
2240,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072599,42.347845,DISTRICT 0,0CD,CD,0.25
2241,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.07254,42.347892,DISTRICT 0,0CD,CD,0.25
2242,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072481,42.34794,DISTRICT 0,0CD,CD,0.25
2243,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.072422,42.347987,DISTRICT 0,0CD,CD,0.25
