OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2154,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,ARLI,COLUMBUS AV,-71.071262,42.349178,DISTRICT 0,0CD,CD,0.25
2155,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,ARLI,COLUMBUS AV,-71.071368,42.349094,DISTRICT 0,0CD,CD,0.25
2156,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,ARLI,COLUMBUS AV,-71.071474,42.349011,DISTRICT 0,0CD,CD,0.25
2157,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,ARLI,COLUMBUS AV,-71.07158,42.348927,DISTRICT 0,0CD,CD,0.25
2158,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,ARLI,COLUMBUS AV,-71.071686,42.348844,DISTRICT 0,0CD,CD,0.25
2159,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.071788,42.348814,DISTRICT 0,0CD,CD,0.25
2160,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.071833,42.34891,DISTRICT 0,0CD,CD,0.25
2161,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.071878,42.349005,DISTRICT 0,0CD,CD,0.25
2162,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.071923,42.349101,DISTRICT 0,0CD,CD,0.25
2163,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.071968,42.349197,DISTRICT 0,0CD,CD,0.25
2164,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.072013,42.349293,DISTRICT 0,0CD,CD,0.25
2165,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.072058,42.349388,DISTRICT 0,0CD,CD,0.25
2166,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,COLU,BERKELEY ST,-71.072103,42.349484,DISTRICT 0,0CD,CD,0.25
2167,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,STAN,BERKELEY ST,-71.072001,42.348906,DISTRICT 0,0CD,CD,0.25
2168,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,STAN,BERKELEY ST,-71.07197,42.348845,DISTRICT 0,0CD,CD,0.25
2169,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,STAN,BERKELEY ST,-71.07194,42.348784,DISTRICT 0,0CD,CD,0.25
2170,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,STAN,BERKELEY ST,-71.071909,42.348723,DISTRICT 0,0CD,CD,0.25
2171,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.071982,42.348628,DISTRICT 0,0CD,CD,0.25
2172,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072048,42.348574,DISTRICT 0,0CD,CD,0.25
2173,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072115,42.348519,DISTRICT 0,0CD,CD,0.25
2174,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072181,42.348465,DISTRICT 0,0CD,CD,0.25
2175,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072247,42.34841,DISTRICT 0,0CD,CD,0.25
2176,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072313,42.348356,DISTRICT 0,0CD,CD,0.25
2177,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.07238,42.348302,DISTRICT 0,0CD,CD,0.25
2178,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072446,42.348247,DISTRICT 0,0CD,CD,0.25
2179,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072512,42.348193,DISTRICT 0,0CD,CD,0.25
2180,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BERK,COLUMBUS AV,-71.072579,42.348138,DISTRICT 0,0CD,CD,0.25
